סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
976 ,ג'נאביב )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1472 ,308 ,491 ,496 ,96 ,36 ,45
978 ,כעביה-טבאש-חג'אג'רה ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,6139 ,625 ,1620 ,2597 ,589 ,406 ,302
986 ,ח'ואלד )שבט( ,25 ,נצרת ,31 ,חיפה ,12 ,זבולון ,87 ,10 ,22 ,31 ,8 ,10 ,6
989 ,סואעד )כמאנה( )שבט( ,24 ,עכו ,24 ,עכו ,0 , ,34 ,0 ,5 ,12 ,9 ,4 ,4
990 ,ראס עלי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,716 ,80 ,206 ,293 ,67 ,43 ,27
993 ,חמאם ,22 ,כנרת ,22 ,טבריה ,65 ,אל-בטוף ,1754 ,187 ,344 ,770 ,210 ,136 ,107
994 ,מנשית זבדה ,25 ,נצרת ,23 ,עפולה ,9 ,עמק יזרעאל ,1479 ,188 ,382 ,611 ,139 ,98 ,61
997 ,רומת הייב ,25 ,נצרת ,25 ,נוף הגליל ,65 ,אל-בטוף ,2274 ,266 ,558 ,960 ,218 ,142 ,130
998 ,ביר אל-מכסור ,24 ,עכו ,25 ,נוף הגליל ,0 , ,10613 ,1055 ,2717 ,4443 ,1085 ,692 ,621
1015 ,מבשרת ציון ,11 ,ירושלים ,11 ,ירושלים ,0 , ,27095 ,2096 ,4948 ,9055 ,3129 ,2716 ,5151
1020 ,אור עקיבא ,32 ,חדרה ,32 ,חדרה ,0 , ,22726 ,1881 ,4041 ,7994 ,2510 ,2382 ,3918
1024 ,חרוצים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,844 ,52 ,176 ,267 ,127 ,80 ,142
1031 ,שדרות ,61 ,אשקלון ,61 ,אשקלון ,0 , ,32290 ,3653 ,6156 ,12868 ,3067 ,2794 ,3752
1034 ,קרית מלאכי ,61 ,אשקלון ,61 ,אשקלון ,0 , ,27303 ,3168 ,6217 ,10251 ,2253 ,2211 ,3203
1041 ,נצאצרה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,547 ,34 ,190 ,219 ,72 ,20 ,12
1042 ,אבו עמאר )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,113 ,13 ,26 ,52 ,12 ,8 ,2
1043 ,גיזו ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,209 ,12 ,48 ,69 ,36 ,28 ,16
1044 ,יעף ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,295 ,20 ,92 ,82 ,56 ,28 ,17
1045 ,שתולה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,359 ,42 ,75 ,136 ,30 ,26 ,50
1046 ,אוהד ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,421 ,14 ,125 ,118 ,76 ,23 ,65
1047 ,חזון ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,348 ,26 ,68 ,116 ,26 ,20 ,92
1050 ,בית חשמונאי ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2339 ,119 ,719 ,728 ,420 ,191 ,162
1051 ,תלמי אליהו ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,323 ,15 ,73 ,112 ,40 ,17 ,66
1052 ,קטורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,640 ,42 ,104 ,239 ,54 ,77 ,124
1053 ,עין חצבה ,62 ,באר שבע ,63 ,אילת ,51 ,תמר ,56 ,8 ,9 ,22 ,7 ,5 ,5
1054 ,תל שבע ,62 ,באר שבע ,62 ,באר שבע ,0 , ,21894 ,3614 ,7559 ,8369 ,1292 ,586 ,474
1056 ,עין כרם-בי"ס חקלאי ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,25 ,2 ,3 ,12 ,5 ,2 ,1
1057 ,נווה זוהר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,69 ,5 ,5 ,19 ,6 ,13 ,21
1058 ,שדה ניצן ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,542 ,22 ,104 ,159 ,97 ,48 ,112
1059 ,כסיפה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,19130 ,3215 ,6473 ,7235 ,1145 ,601 ,461
1060 ,לקיה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,16665 ,2700 ,5536 ,6279 ,1152 ,561 ,437
1061 ,נוף הגליל ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,52254 ,3479 ,7999 ,17589 ,6404 ,5391 ,11392
1063 ,מעלות-תרשיחא ,24 ,עכו ,24 ,עכו ,0 , ,25425 ,1708 ,4734 ,8872 ,3169 ,2639 ,4303
1064 ,אמירים ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,922 ,68 ,216 ,302 ,146 ,80 ,110
1065 ,זמרת ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,727 ,96 ,232 ,244 ,60 ,46 ,49
1066 ,בני עי"ש ,44 ,רחובות ,44 ,רחובות ,0 , ,7441 ,503 ,1149 ,2417 ,901 ,874 ,1597
1067 ,דוב"ב ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,492 ,36 ,96 ,183 ,63 ,51 ,63
1068 ,אדמית ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,502 ,32 ,93 ,159 ,78 ,50 ,90
1069 ,רם-און ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,990 ,44 ,264 ,298 ,188 ,85 ,111
1070 ,אביעזר ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,913 ,51 ,254 ,292 ,138 ,90 ,88
1071 ,נווה מיכאל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,783 ,69 ,226 ,274 ,71 ,52 ,91
1072 ,גן הדרום ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,536 ,37 ,153 ,175 ,63 ,36 ,72
1076 ,בית ברל ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,53 ,3 ,9 ,23 ,6 ,4 ,8
1077 ,גבעת שפירא ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,333 ,20 ,88 ,91 ,69 ,23 ,42
1079 ,צפרירים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,450 ,33 ,93 ,157 ,60 ,46 ,61
1080 ,מבועים ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,1310 ,109 ,263 ,523 ,168 ,154 ,93
1081 ,אבן מנחם ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,359 ,29 ,53 ,129 ,41 ,49 ,58
1082 ,מעגלים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,1547 ,114 ,347 ,639 ,182 ,173 ,92
1083 ,תושיה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,576 ,56 ,164 ,231 ,62 ,32 ,31
1084 ,בן שמן )כפר נוער( ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,273 ,31 ,55 ,90 ,21 ,28 ,48
1085 ,כרם שלום ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,244 ,28 ,52 ,102 ,29 ,20 ,13
1094 ,כרם יבנה )ישיבה( ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,305 ,82 ,80 ,124 ,11 ,3 ,5
1095 ,כפר מימון ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,756 ,53 ,237 ,253 ,94 ,32 ,87
