סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
1209 ,חרשים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,372 ,49 ,75 ,137 ,31 ,37 ,43
1210 ,כחל ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,518 ,43 ,114 ,186 ,39 ,57 ,79
1211 ,קדרים ,22 ,כנרת ,22 ,טבריה ,1 ,הגליל העליון ,308 ,37 ,68 ,107 ,45 ,49 ,2
1212 ,עמוקה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,189 ,14 ,21 ,66 ,9 ,23 ,56
1213 ,צבעון ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,346 ,40 ,107 ,136 ,39 ,15 ,9
1214 ,טפחות ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,449 ,57 ,133 ,178 ,26 ,28 ,27
1219 ,גורנות הגליל ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,275 ,30 ,47 ,114 ,15 ,40 ,29
1220 ,אבירים ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,340 ,53 ,55 ,146 ,19 ,36 ,31
1221 ,צורית ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1028 ,72 ,210 ,376 ,136 ,120 ,114
1222 ,מצפה אבי"ב ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1146 ,84 ,314 ,419 ,146 ,112 ,71
1223 ,שדי אברהם ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,386 ,20 ,106 ,137 ,59 ,30 ,34
1224 ,כוכב יאיר ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,10467 ,587 ,2071 ,3432 ,1372 ,1386 ,1619
1225 ,רביד ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,121 ,22 ,17 ,56 ,15 ,11 ,0
1226 ,יובלים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1416 ,60 ,329 ,461 ,196 ,127 ,243
1227 ,יתד ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,611 ,85 ,159 ,228 ,61 ,32 ,46
1228 ,רקפת ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1112 ,61 ,273 ,413 ,151 ,138 ,76
1229 ,כלנית ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,301 ,52 ,64 ,118 ,7 ,30 ,30
1230 ,לבנים ,22 ,כנרת ,22 ,טבריה ,2 ,מרום הגליל ,524 ,43 ,122 ,190 ,67 ,42 ,60
1231 ,פרי גן ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,261 ,14 ,69 ,92 ,35 ,12 ,39
1232 ,יבול ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,373 ,33 ,122 ,118 ,42 ,10 ,48
1233 ,שקף ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,525 ,86 ,134 ,215 ,21 ,28 ,41
1234 ,קבועה )שבט( ,62 ,באר שבע ,62 ,באר שבע ,0 , ,1495 ,105 ,553 ,641 ,99 ,52 ,45
1235 ,שורשים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,637 ,45 ,152 ,227 ,86 ,55 ,72
1236 ,נירית ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1092 ,52 ,180 ,372 ,137 ,163 ,188
1237 ,תלמי יוסף ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,380 ,24 ,75 ,128 ,49 ,39 ,65
1238 ,סופה ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,245 ,23 ,28 ,102 ,25 ,48 ,19
1239 ,חולית ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,200 ,23 ,35 ,88 ,24 ,22 ,8
1240 ,עין הבשור ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,1147 ,47 ,349 ,340 ,234 ,40 ,137
1241 ,דקל ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,425 ,24 ,117 ,135 ,56 ,26 ,67
1242 ,נתיב העשרה ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,1068 ,71 ,269 ,346 ,186 ,63 ,133
1243 ,קציר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,3185 ,174 ,708 ,1099 ,498 ,400 ,306
1244 ,תמרת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1481 ,107 ,226 ,473 ,145 ,160 ,370
1245 ,סלמה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,3717 ,390 ,936 ,1638 ,396 ,179 ,178
1246 ,עראמשה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1624 ,155 ,375 ,679 ,172 ,111 ,132
1247 ,חריש ,32 ,חדרה ,32 ,חדרה ,0 , ,27561 ,5735 ,7115 ,10818 ,1786 ,921 ,1186
1248 ,אליפז ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,198 ,12 ,55 ,68 ,35 ,20 ,8
1249 ,הרדוף ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,623 ,51 ,130 ,236 ,77 ,92 ,37
1251 ,עין תמר ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,217 ,14 ,48 ,73 ,28 ,31 ,23
1252 ,כורזים ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,418 ,17 ,56 ,162 ,26 ,49 ,108
1253 ,אמנון ,22 ,כנרת ,22 ,טבריה ,55 ,מבואות החרמון ,504 ,48 ,107 ,182 ,40 ,54 ,73
1254 ,נטף ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,547 ,79 ,92 ,218 ,32 ,45 ,81
1255 ,לוטן ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,259 ,24 ,41 ,97 ,39 ,51 ,7
1256 ,אשרת ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,629 ,41 ,122 ,222 ,72 ,70 ,102
1257 ,חנתון ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,968 ,78 ,340 ,295 ,146 ,53 ,56
1258 ,מסד ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,437 ,43 ,87 ,162 ,53 ,52 ,40
1259 ,נווה שלום ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,351 ,31 ,63 ,140 ,38 ,41 ,38
1260 ,רתמים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,730 ,150 ,322 ,248 ,5 ,2 ,3
1261 ,הר עמשא ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,241 ,44 ,67 ,91 ,12 ,15 ,12
1262 ,צוקים ,62 ,באר שבע ,62 ,באר שבע ,54 ,הערבה התיכונה ,355 ,17 ,129 ,91 ,80 ,24 ,14
1263 ,כפר ורדים ,24 ,עכו ,24 ,עכו ,0 , ,6270 ,223 ,1272 ,2006 ,901 ,696 ,1172
1264 ,כרמי יוסף ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1935 ,148 ,360 ,608 ,198 ,177 ,444
1265 ,שומריה ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,817 ,116 ,354 ,256 ,35 ,38 ,18
1266 ,שחרות ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,187 ,14 ,21 ,90 ,28 ,23 ,11
1267 ,שיטים ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,5 ,0 ,0 ,4 ,1 ,0 ,0
1268 ,מיתר ,62 ,באר שבע ,62 ,באר שבע ,0 , ,12077 ,881 ,3343 ,4142 ,1610 ,878 ,1223
1271 ,להבים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,7314 ,403 ,1549 ,2383 ,947 ,773 ,1259
1272 ,חלוץ ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,632 ,32 ,159 ,210 ,100 ,78 ,53
1274 ,גן נר ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2895 ,159 ,584 ,1115 ,430 ,341 ,266
1275 ,אבטליון ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,512 ,30 ,161 ,156 ,103 ,44 ,18
1276 ,אשבל ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,116 ,24 ,21 ,59 ,12 ,0 ,0
1278 ,באר מילכה ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,210 ,24 ,79 ,62 ,36 ,7 ,2
1279 ,נווה חריף ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,104 ,8 ,15 ,48 ,12 ,15 ,6
1280 ,ניצני סיני ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,340 ,29 ,83 ,131 ,44 ,33 ,20
1282 ,מירב ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,823 ,87 ,317 ,288 ,71 ,52 ,8
1283 ,תל תאומים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,557 ,83 ,128 ,220 ,34 ,48 ,44
1284 ,נופית ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,2706 ,106 ,589 ,884 ,489 ,274 ,364
1285 ,כרכום ,22 ,כנרת ,21 ,צפת ,55 ,מבואות החרמון ,558 ,23 ,78 ,223 ,52 ,121 ,61
1286 ,שגב-שלום ,62 ,באר שבע ,62 ,באר שבע ,0 , ,11911 ,1933 ,3956 ,4638 ,753 ,358 ,273
1287 ,שני ,62 ,באר שבע ,62 ,באר שבע ,78 ,הר חברון ,575 ,43 ,148 ,195 ,78 ,43 ,68
1288 ,גבעת אלה ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2156 ,140 ,443 ,708 ,238 ,250 ,377
1290 ,זמר ,41 ,השרון ,41 ,נתניה ,0 , ,7593 ,755 ,1806 ,3137 ,787 ,572 ,536
1291 ,כמהין ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,244 ,24 ,71 ,89 ,42 ,15 ,3
1292 ,ג'דיידה-מכר ,24 ,עכו ,24 ,עכו ,0 , ,21393 ,1696 ,4605 ,9183 ,2693 ,1834 ,1382
1293 ,גבעת אבני ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,2296 ,113 ,475 ,820 ,315 ,281 ,292
1294 ,אור הגנוז ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,636 ,73 ,252 ,193 ,72 ,40 ,6
1295 ,יאנוח-ג'ת ,24 ,עכו ,24 ,עכו ,0 , ,6953 ,589 ,1599 ,3060 ,804 ,474 ,427
1296 ,כסרא-סמיע ,24 ,עכו ,24 ,עכו ,0 , ,9221 ,910 ,2322 ,4088 ,903 ,546 ,452
1297 ,כפר חנניה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,799 ,67 ,209 ,279 ,113 ,76 ,55
1298 ,אתגר ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,33 ,0 ,0 ,9 ,1 ,10 ,13
1303 ,חורה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,19365 ,3441 ,6779 ,7116 ,1131 ,478 ,420
1304 ,שוהם ,43 ,רמלה ,43 ,רמלה ,0 , ,22277 ,1206 ,4775 ,7734 ,3565 ,2931 ,2066
1309 ,אלעד ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,49169 ,6799 ,19699 ,17144 ,3247 ,1215 ,1065
1310 ,לפיד ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,2307 ,87 ,453 ,854 ,352 ,403 ,158
1311 ,אבשלום ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,379 ,23 ,70 ,131 ,54 ,41 ,60
1313 ,פוריה עילית ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1353 ,102 ,295 ,484 ,161 ,113 ,198
1314 ,נווה זיו ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,913 ,58 ,268 ,300 ,167 ,69 ,51
1315 ,מתן ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,3597 ,166 ,796 ,1270 ,627 ,508 ,230
1316 ,אל-עריאן ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,191 ,23 ,39 ,85 ,18 ,15 ,11
1317 ,דמיידה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,548 ,60 ,148 ,204 ,62 ,44 ,30
1318 ,מבואות ים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,51 ,8 ,12 ,19 ,7 ,5 ,0
1319 ,בת חפר ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,5617 ,241 ,1243 ,2044 ,1112 ,626 ,351
1320 ,עין חוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,316 ,49 ,64 ,135 ,32 ,19 ,17
1321 ,ח'ואלד ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,743 ,60 ,207 ,302 ,90 ,48 ,36
1322 ,הודיות ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,75 ,21 ,22 ,27 ,2 ,2 ,1
1323 ,בת הדר ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,730 ,41 ,184 ,255 ,101 ,76 ,73
1324 ,ארסוף ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,190 ,4 ,44 ,53 ,38 ,25 ,26
1325 ,כפר זוהרים ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,46 ,17 ,11 ,18 ,0 ,0 ,0
1326 ,בסמ"ה ,32 ,חדרה ,32 ,חדרה ,0 , ,11466 ,1182 ,3092 ,4821 ,1114 ,680 ,577
1327 ,מעלה עירון ,32 ,חדרה ,23 ,עפולה ,0 , ,15872 ,1566 ,3822 ,6694 ,1757 ,1129 ,904
1330 ,אחוזת ברק ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2708 ,176 ,694 ,955 ,427 ,254 ,202
1331 ,כמאנה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,1633 ,156 ,395 ,722 ,166 ,104 ,90
1332 ,חוסנייה ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,911 ,102 ,217 ,408 ,98 ,36 ,50
1333 ,נוף איילון ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,2384 ,174 ,503 ,977 ,210 ,342 ,178
1334 ,ראס אל-עין ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,428 ,49 ,96 ,198 ,42 ,23 ,20
1335 ,ערב אל נעים ,24 ,עכו ,20 ,כרמיאל ,56 ,משגב ,855 ,83 ,209 ,442 ,74 ,32 ,15
1336 ,אירוס , , , , , , ,840 ,56 ,280 ,256 ,152 ,56 ,40
1337 ,שמשית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,2613 ,59 ,622 ,934 ,623 ,287 ,88
1338 ,כדיתה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,199 ,23 ,41 ,75 ,23 ,19 ,18
1339 ,אל-עזי ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,154 ,11 ,45 ,50 ,19 ,20 ,9
1340 ,מרחב עם ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,591 ,88 ,277 ,171 ,44 ,8 ,3
1342 ,אבו קרינאת )יישוב( ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,1250 ,235 ,354 ,538 ,75 ,29 ,19
1343 ,מכחול ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1124 ,194 ,322 ,456 ,74 ,42 ,36
1344 ,גבעות בר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1286 ,95 ,509 ,411 ,209 ,36 ,26
1345 ,צור יצחק ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,6954 ,879 ,2236 ,2443 ,745 ,237 ,414
1346 ,תראבין א-צאנע)ישוב( ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1251 ,214 ,393 ,499 ,81 ,33 ,31
1347 ,קצר א-סר ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,2709 ,521 ,806 ,1077 ,168 ,67 ,70
1348 ,ביר הדאג' ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,2953 ,629 ,931 ,1042 ,190 ,85 ,76
1349 ,דריג'את ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,1068 ,135 ,308 ,463 ,88 ,42 ,32
1358 ,אום בטין ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,4433 ,785 ,1382 ,1799 ,251 ,129 ,87
1359 ,אל סייד ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,3707 ,689 ,1066 ,1526 ,227 ,123 ,76
1360 ,סעוה ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,2142 ,437 ,650 ,796 ,167 ,60 ,32
1361 ,בת חן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,542 ,24 ,98 ,136 ,67 ,30 ,187
1363 ,בני נצרים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,914 ,165 ,399 ,277 ,46 ,20 ,7
1364 ,שלומית ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,458 ,126 ,178 ,151 ,2 ,1 ,0
1365 ,אליאב , , , , , , ,733 ,116 ,315 ,221 ,75 ,5 ,1
1366 ,נווה ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,960 ,185 ,422 ,274 ,54 ,19 ,6
1367 ,כחלה ,62 ,באר שבע ,62 ,באר שבע ,69 ,אל קסום ,458 ,63 ,133 ,188 ,27 ,25 ,22
1368 ,בני דקלים ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,1692 ,256 ,750 ,538 ,72 ,45 ,31
1369 ,נטע ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,823 ,126 ,388 ,257 ,40 ,12 ,0
1370 ,מצפה אילן ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,752 ,89 ,363 ,228 ,71 ,0 ,1
1371 ,גני טל ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,942 ,144 ,352 ,296 ,52 ,16 ,82
1372 ,נצר חזני ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,558 ,82 ,188 ,196 ,29 ,25 ,38
1373 ,שלווה במדבר ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,18 ,3 ,1 ,12 ,1 ,1 ,0
1374 ,כרמי קטיף , , , , , , ,717 ,125 ,269 ,241 ,59 ,18 ,5
1375 ,אבו תלול ,62 ,באר שבע ,62 ,באר שבע ,68 ,נווה מדבר ,2323 ,482 ,758 ,831 ,146 ,55 ,51
1376 ,באר גנים ,62 ,באר שבע ,61 ,אשקלון ,36 ,חוף אשקלון ,2011 ,305 ,590 ,715 ,129 ,126 ,146
1377 ,שבי דרום , , , , , , ,438 ,101 ,190 ,118 ,18 ,10 ,1
1378 ,שיזף , , , , , , ,100 ,25 ,34 ,41 ,0 ,0 ,0
1411 ,מחנה הילה ,44 ,רחובות ,46 ,ראשון לציון ,27 ,גן רווה ,258 ,80 ,54 ,124 ,0 ,0 ,0
1412 ,מחנה תל נוף ,44 ,רחובות ,46 ,ראשון לציון ,28 ,ברנר ,345 ,97 ,72 ,167 ,9 ,0 ,0
1413 ,מחנה יהודית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,284 ,75 ,64 ,143 ,2 ,0 ,0
1414 ,מחנה מרים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,196 ,49 ,58 ,87 ,2 ,0 ,0
1415 ,מחנה יפה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,460 ,97 ,122 ,234 ,6 ,1 ,0
1416 ,מחנה יוכבד ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,241 ,47 ,76 ,114 ,4 ,0 ,0
1418 ,מחנה טלי ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,267 ,62 ,59 ,143 ,3 ,0 ,0
1419 ,ניצן ב' ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,723 ,70 ,143 ,359 ,49 ,52 ,50
2002 ,תנובות ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,860 ,71 ,168 ,286 ,116 ,98 ,121
2003 ,תלמי אלעזר ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,999 ,77 ,237 ,331 ,144 ,94 ,116
2006 ,כנות ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,57 ,7 ,10 ,23 ,1 ,8 ,8
2008 ,שדה יצחק ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,622 ,57 ,121 ,244 ,75 ,58 ,67
2009 ,יובל ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,629 ,37 ,139 ,219 ,81 ,55 ,98
2010 ,כפר בן נון ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,823 ,64 ,213 ,265 ,112 ,61 ,108
2011 ,ינון ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1228 ,120 ,260 ,449 ,147 ,129 ,123
2012 ,אורות ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,599 ,31 ,115 ,188 ,75 ,72 ,118
2013 ,בן שמן )מושב( ,43 ,רמלה ,43 ,רמלה ,25 ,חבל מודיעין ,883 ,60 ,218 ,262 ,150 ,72 ,121
2014 ,גבעולים ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,484 ,51 ,125 ,170 ,56 ,29 ,53
2015 ,שדי חמד ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1002 ,63 ,231 ,317 ,179 ,79 ,133
2016 ,רוויה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,420 ,32 ,122 ,138 ,58 ,26 ,44
2018 ,גבעת חיים )איחוד( ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1475 ,129 ,314 ,424 ,191 ,95 ,322
2021 ,אשל הנשיא ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,145 ,11 ,21 ,59 ,20 ,18 ,16
2023 ,להב ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,804 ,54 ,195 ,282 ,106 ,54 ,113
2024 ,אום אל-קוטוף ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1179 ,125 ,281 ,502 ,116 ,86 ,69
2026 ,ירדנה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,412 ,37 ,97 ,143 ,43 ,36 ,56
2029 ,מדרך עוז ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,866 ,59 ,216 ,280 ,128 ,78 ,105
2030 ,מנוחה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,673 ,77 ,130 ,265 ,75 ,56 ,70
2033 ,בית חלקיה ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,1026 ,178 ,359 ,347 ,51 ,34 ,57
2034 ,חצור הגלילית ,21 ,צפת ,21 ,צפת ,0 , ,10975 ,1197 ,2362 ,3932 ,1045 ,996 ,1443
2035 ,עדנים ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,418 ,23 ,103 ,131 ,56 ,33 ,72
2038 ,ברקת ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,1989 ,273 ,537 ,744 ,153 ,142 ,140
2039 ,קרית יערים)מוסד( ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,49 ,5 ,16 ,13 ,4 ,4 ,7
2042 ,עין גדי ,62 ,באר שבע ,62 ,באר שבע ,51 ,תמר ,623 ,34 ,90 ,201 ,92 ,65 ,141
2043 ,בחן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1112 ,55 ,374 ,288 ,222 ,72 ,101
2044 ,מלילות ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,434 ,41 ,102 ,153 ,46 ,26 ,66
2045 ,נחלה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,735 ,65 ,192 ,260 ,70 ,72 ,76
2046 ,סגולה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,653 ,47 ,164 ,224 ,82 ,49 ,87
2047 ,ניר משה ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,605 ,46 ,125 ,216 ,65 ,58 ,95
2048 ,ניר עקיבא ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,743 ,80 ,212 ,239 ,101 ,43 ,68
2049 ,שדה צבי ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,721 ,63 ,213 ,260 ,85 ,45 ,55
2050 ,תלמי ביל"ו ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,534 ,44 ,129 ,194 ,41 ,50 ,76
2051 ,רווחה ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,604 ,66 ,119 ,204 ,65 ,61 ,89
2052 ,אביטל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,570 ,42 ,126 ,191 ,76 ,42 ,93
2053 ,פרזון ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,443 ,45 ,84 ,153 ,52 ,42 ,67
2054 ,מיטב ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,509 ,45 ,103 ,190 ,57 ,48 ,66
2055 ,מאור ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1477 ,120 ,398 ,506 ,232 ,105 ,116
2057 ,שדי תרומות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,526 ,49 ,92 ,191 ,67 ,65 ,62
2059 ,פעמי תש"ז ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,593 ,47 ,151 ,217 ,65 ,42 ,71
2060 ,ברוש ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,593 ,55 ,173 ,202 ,80 ,26 ,57
2061 ,תדהר ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,713 ,59 ,221 ,261 ,81 ,47 ,44
2062 ,תאשור ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,425 ,30 ,94 ,158 ,45 ,46 ,52
2063 ,דישון ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,375 ,30 ,45 ,143 ,31 ,61 ,65
2064 ,זרועה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,513 ,59 ,126 ,178 ,68 ,31 ,51
2100 ,טירת כרמל ,31 ,חיפה ,31 ,חיפה ,0 , ,29113 ,2817 ,4956 ,10610 ,3019 ,2751 ,4960
2200 ,דימונה ,62 ,באר שבע ,62 ,באר שבע ,0 , ,40628 ,3299 ,7678 ,14659 ,4788 ,3854 ,6350
2300 ,קרית טבעון ,31 ,חיפה ,31 ,חיפה ,0 , ,18664 ,985 ,3420 ,5583 ,2534 ,1896 ,4246
2400 ,אור יהודה ,52 ,רמת גן ,52 ,רמת גן ,0 , ,37255 ,3104 ,7087 ,13171 ,4178 ,3725 ,5990
2500 ,נשר ,31 ,חיפה ,31 ,חיפה ,0 , ,24833 ,1421 ,3621 ,8512 ,3097 ,2772 ,5410
